Date,Sales
2023-06-28,255.04
2023-06-29,298.92
2023-06-30,263.23
2023-07-01,257.44
2023-07-02,277.04
2023-07-03,314.31
2023-07-04,284.37
2023-07-05,277.5
2023-07-06,256.87
2023-07-07,252.15
2023-07-08,260.54
2023-07-09,271.04
2023-07-10,298.61
2023-07-11,308.85
2023-07-12,270.39
2023-07-13,225.37
2023-07-14,259.95
2023-07-15,288.06
2023-07-16,286.55
2023-07-17,313.5
2023-07-18,295.77
2023-07-19,246.13
2023-07-20,260.33
2023-07-21,270.59
2023-07-22,304.9
2023-07-23,328.18
2023-07-24,285.76
2023-07-25,278.74
2023-07-26,282.17
2023-07-27,266.33
2023-07-28,272.56
2023-07-29,363.18
2023-07-30,321.41
2023-07-31,338.91
2023-08-01,319.46
2023-08-02,287.79
2023-08-03,252.63
2023-08-04,280.32
2023-08-05,273.55
2023-08-06,308.14
2023-08-07,309.38
2023-08-08,304.9
2023-08-09,323.94
2023-08-10,224.48
2023-08-11,281.75
2023-08-12,259.64
2023-08-13,306.32
2023-08-14,343.75
2023-08-15,307.43
2023-08-16,258.97
2023-08-17,250.4
2023-08-18,284.51
2023-08-19,280.17
2023-08-20,322.98
2023-08-21,325.76
2023-08-22,296.0
2023-08-23,326.29
2023-08-24,280.27
2023-08-25,233.29
2023-08-26,301.39
2023-08-27,308.3
2023-08-28,344.79
2023-08-29,296.07
2023-08-30,284.0
2023-08-31,280.58
2023-09-01,294.0
2023-09-02,276.54
2023-09-03,317.73
2023-09-04,321.12
2023-09-05,301.74
2023-09-06,324.49
2023-09-07,281.46
2023-09-08,254.35
2023-09-09,321.79
2023-09-10,369.74
2023-09-11,354.16
2023-09-12,287.3
2023-09-13,282.38
2023-09-14,301.58
2023-09-15,268.3
2023-09-16,315.2
2023-09-17,345.68
2023-09-18,317.85
2023-09-19,319.38
2023-09-20,230.13
2023-09-21,258.64
2023-09-22,280.28
2023-09-23,284.25
2023-09-24,365.72
2023-09-25,310.67
2023-09-26,314.66
2023-09-27,300.45
2023-09-28,310.84
2023-09-29,259.5
2023-09-30,335.35
2023-10-01,336.16
2023-10-02,322.53
2023-10-03,335.58
2023-10-04,304.7
2023-10-05,272.9
2023-10-06,292.5
2023-10-07,307.27
2023-10-08,341.11
2023-10-09,358.29
2023-10-10,360.95
2023-10-11,278.85
2023-10-12,330.45
2023-10-13,254.95
2023-10-14,314.82
2023-10-15,353.49
2023-10-16,353.55
2023-10-17,319.66
2023-10-18,302.33
2023-10-19,280.81
2023-10-20,285.09
2023-10-21,337.73
2023-10-22,351.75
2023-10-23,336.96
2023-10-24,352.99
2023-10-25,315.52
2023-10-26,309.81
2023-10-27,312.35
2023-10-28,307.05
2023-10-29,336.29
2023-10-30,368.64
2023-10-31,350.09
2023-11-01,311.84
2023-11-02,298.79
2023-11-03,328.2
2023-11-04,314.68
2023-11-05,361.32
2023-11-06,352.54
2023-11-07,336.41
2023-11-08,337.12
2023-11-09,315.83
2023-11-10,321.8
2023-11-11,355.51
2023-11-12,353.68
2023-11-13,373.11
2023-11-14,337.44
2023-11-15,324.51
2023-11-16,299.61
2023-11-17,310.35
2023-11-18,344.18
2023-11-19,339.78
2023-11-20,404.2
2023-11-21,326.41
2023-11-22,296.63
2023-11-23,328.26
2023-11-24,327.13
2023-11-25,347.65
2023-11-26,371.6
2023-11-27,364.99
2023-11-28,331.47
2023-11-29,325.31
2023-11-30,294.43
2023-12-01,333.68
2023-12-02,335.11
2023-12-03,345.41
2023-12-04,361.69
2023-12-05,360.56
2023-12-06,315.41
2023-12-07,294.42
2023-12-08,321.94
2023-12-09,345.83
2023-12-10,354.66
2023-12-11,361.59
2023-12-12,359.83
2023-12-13,300.6
2023-12-14,285.6
2023-12-15,305.58
2023-12-16,339.55
2023-12-17,373.9
2023-12-18,403.4
2023-12-19,375.22
2023-12-20,329.25
2023-12-21,316.25
2023-12-22,302.79
2023-12-23,346.33
2023-12-24,364.8
2023-12-25,383.23
2023-12-26,344.41
2023-12-27,345.72
2023-12-28,350.17
2023-12-29,323.55
2023-12-30,357.62
2023-12-31,387.26
